0.198169, 0.169263, 0.076847, 0.071295, 0.071167
0.447795, 0.339653, 0.026000, 0.023477, 0.021878
0.392738, 0.306475, 0.070767, 0.054878, 0.007660
0.253923, 0.170163, 0.107381, 0.061286, 0.036247
0.108712, 0.080970, 0.055333, 0.045902, 0.042277
0.373313, 0.145300, 0.116452, 0.075252, 0.069459
0.829748, 0.035816, 0.016252, 0.013077, 0.012073
0.150411, 0.117144, 0.074749, 0.072505, 0.065301
0.113482, 0.098674, 0.096523, 0.081248, 0.074814
0.524956, 0.215890, 0.082016, 0.043408, 0.035495
