0.314073, 0.195751, 0.144349, 0.089703, 0.067297
0.438674, 0.266643, 0.062449, 0.046605, 0.015773
0.910762, 0.082753, 0.004398, 0.000676, 0.000325
0.216220, 0.134292, 0.121507, 0.112255, 0.079703
0.035916, 0.025733, 0.018795, 0.018271, 0.015611
0.237917, 0.108659, 0.073618, 0.055673, 0.047217
0.973374, 0.008353, 0.002077, 0.001241, 0.001041
0.115745, 0.047774, 0.046501, 0.042875, 0.037107
0.045658, 0.033473, 0.029398, 0.022245, 0.022071
0.141692, 0.101247, 0.087914, 0.047013, 0.046246
